created_at,full_text,source,lang
Tue Nov 16 15:26:22 +0000 2021,"@AmazonHelp @amazon  - What is going on with Pickup Tracking ID:624287745548, ORDER # 408-6577121-9315510. Bajaj New Shakti Neo 15L Metal Body 4 Star Water Heater. This has been not picked even after 4 time rescheduling and multiple escalation. Pathetic service.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:26:21 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:26:21 +0000 2021,Gone to Pot: Welcome to the Shit Show: 7 Dirty Little Secrets of the Cannabis... https://t.co/3k1LdF9Hk7 via @amazon,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:26:18 +0000 2021,@ShibaInuHodler @amazon Any news update of this ??,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:26:16 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:26:05 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:26:03 +0000 2021,"🤩 wow!
The new #Kobo #Sage looks great with several functions I was looking for (#Pocket and #audiobooks ). 

I hope #Amazon will include these functionalities in a #Kindle (yeap, I’m locked). 

@Pocket @amazon @kobo @AmazonKindle #KoboSage https://t.co/TcycX7Uo46","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:26:01 +0000 2021,RT @sashastiles: This has got to be one of life’s great feelings… Taking a moment to take this in. #Technelegy comes out this Friday Nov. 1…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:25:51 +0000 2021,"Trend In @Amazon
Rating:3.7 out of 5✨
Price:₹289.00🏷️
Buy From Amazon🛒:https://t.co/S2D35bcDBu
#clothing #accessories #women #westernwear #dresses #jumpsuits #dresses #ootdfashion #weddingdress #EyyBiddaIdhiNaaAdda https://t.co/X0vkYn0xYv","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Amzn Zone</a>",en
Tue Nov 16 15:25:12 +0000 2021,@AmazonHelp @amazon @JeffBezos @amazonIN pls help to get appropriate team for my resolution,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:24:53 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:24:51 +0000 2021,"Love how @amazon wants feedback on your delivery, so you provide it and then they send a “canned” email assuming it’s because the customer did something wrong 😠 honestly some of the drivers just don’t give a crap.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:24:46 +0000 2021,"https://t.co/snAHCRRdf8: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and e-Gift Cards. Free Shipping &amp; Cash on Delivery Available. https://t.co/OVnyD4ClfB via @amazon","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:24:35 +0000 2021,Hi @Apple and @amazon. Ill be sending you invoices for time spent as Tech Support for my parents and grandparents. It's a lot of time and I'm expensive so just make sure I get taken care of this quarter for tax purposes. I know y'all don't pay those either so just a reminder.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:24:32 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:24:31 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:24:24 +0000 2021,RT @Hima201096: @ShibaInuHodler @amazon Yes buy and hold #SHIB 💯🚀🚀🚀,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
