,artistname,songtitle,Lyrics
0,kirk franklin,outro (the blood),"you have the power to make the seasons change the rivers flows for you the wind whispers your name for me you left your throne and traded crown for thorns instead i'm saved within not by your skin but because your blood was red we may be different but, the god we serve's the same every sunday we seperate, and bring the father pain his name is: ""higher than any other"" but you took my place instead it doesnt matter what color you are no jesus ""as long as you're blood was red"" it reaches to the highest mountain and it flows to the lowest valley the blood that gives me strength from day, to day it will never lose it's power..."
1,elvis presley,i feel so bad,"feel so bad like a ball game on a rainy day feel so bad like a ball game on a rainy day yes' i got my rain check shake my head and walk away oooo-people that's the way i feel oooo-people that's the way i feel sometimes i think i want then again i think i don't sometimes i want to stay here then again i want to leave here then again i want to stay yes, i got my train fare pack my grip and ride away oooo-people that's the way i feel oooo-people that's the way i feel sometimes i think i want then again i think i don't"
2,roy orbison,ooby dooby,"hey baby, jump over here when you do the ooby-dooby i just gotta be near ooby-dooby, ooby-dooby, ooby-dooby, ooby-dooby ooby-dooby, ooby-dooby, ooby-dooby, dooby-do-wah-do-wah-do-wah well you wiggle to the left, you wiggle to the right you do the ooby-dooby with all of your might ooby-dooby, ooby-dooby, ooby-dooby, ooby-dooby ooby-dooby, ooby-dooby, ooby-dooby, dooby-do-wah-do-wah-do-wah well you wriggle and you shake, like a bit rattle snake you do the ooby dooby 'till you think her heart'll break ooby-dooby, ooby-dooby, ooby-dooby, ooby-dooby ooby-dooby, ooby-dooby, ooby-dooby, dooby-do-wah-do-wah-do-wah well you've been struttin' 'cause now you know how to do the ooby dooby, baby let's go! ooby-dooby, ooby-dooby, ooby-dooby, ooby-dooby ooby-dooby, ooby-dooby, ooby-dooby, dooby-do-wah-do-wah-do-wah"
3,roy orbison,go! go! go!,"(ellis/orbison) roy orbison (sun 242, 1956) well you can't be my lovin' baby, you ain't got the style i'm gonna get some real gone love that'll drive a cool cat wild i'm gonna move, rollin' right on down gonna get me a gal that'll go out on the town well you move on down the line i'm gonna get me a gal that'll make some time she can't be square, she can't be slow 'cause when we start struttin', gotta go-go-go well i'm gonna show you ain't so hot i'm gonna get what you ain't got she'll be sweet, won't do me wrong she'll be cool and twice as gone you gotta roll, move it right on down gonna get me a gal that'll go out on the town well you move on down the line i'm gonna get me a gal that'll make some time she can't be square, she can't be slow 'cause when we start struttin', gotta go-go-go"
4,johnny cash,get rhythm,"hey, get rhythm! when you get the blues! c'mon get rhythm! when you get the blues! get a rock and roll feeling in your bones, put taps on your toes, and get goin' get rhythm! when you get the blues! a little shoe-shine boy he never gets low-down, but he's got the dirtiest job in town! bending low at the peoples' feet, on a windy corner of a dirty street. well, i asked him while she shined my shoes, how'd he keep from getting the blues. he grinned as he raised his little head, he popped a shoe-shine rag, and he said get rhythm! when you get the blues! c'mon get rhythm! when you get the blues! a jumpy rhythm makes you feel so fine, it'll shake all your troubles from your worried mind. get rhythm! when you get the blues! get rhythm! when you get the blues! c'mon get rhythm! when you get the blues! get a rock and roll feeling in your bones, put taps on your toes, and get goin' get rhythm! when you get the blues! well, i had to listen to the shoe-shine boy, and i thought i was gonna jump for joy! slapped on the shoe polish left and right, he took a shoe-shine rag and he held it tight. he stopped once to wipe the sweat away, i said, you're a mighty little boy to be a-workin� that way! he said i like it, with a big wide grin, kept on a-poppin' and he said again, get rhythm! when you get the blues! c'mon get rhythm! when you get the blues! it only costs a dime, just a nickel a shoe. it does a million dollars worth of good for you. get rhythm! when you get the blues!"
5,the platters,remember when,"remember when (dah-doot-doo-doo) i first met you (dah-doot-doo-doo) my lips were so afraid to say ""i love you"" remember when (dah-doot-doo-doo), to my surprise (dah-doot-doo-doo) the heaven in my heart leaped into your eyes remember how much i cried tears of joy to think you were mine darling, down deep inside i still feel that feeling divine i loved you then (dah-doot-doo-doo) and i still do (dah-doot-doo-doo) i can't remember when i didn't love you remember how much i cried tears of joy to think you were mine darling, down deep inside i still feel that feeling divine i loved you then and i still do i can't remember when i didn't love you"
7,aretha franklin,since you've been gone (sweet sweet baby),"baby baby, sweet baby there's something that i just got to say baby baby, sweet baby you left me hurtin' in a real cold way speak your name and i'll feel a thrill you said i do and i said i will i tell you that i'll stay true and give you just a little time wait on me baby, i want you to be all mine i just get so blue since you've been gone, baby (why'd you do it? why'd you have to do it?) since you've been gone (why'd you do it? why'd you have to do it?) (bridge) baby baby, sweet baby i didn't mean to run you away it was pride on my lips, but not in my heart to say the things that made you stray but ah, babe hear me now (hear me) i don't know what i'm gonna do (hear me) got to get you back somehow (hear me now) oooh, take me back, consider me please if you walk in that door, i can get up off my knees i just been so blue since you've been gone (why'd you do it? why'd you have to do it?) since you've been gone (why'd you do it? why'd you have to do it?) well i've been so lonely (sweet sweet - sweet sweet baby) baby, since you've been gone (sweet sweet - sweet sweet baby) i've been so lonely (why'd you do it? why'd you have to do it?) since you've been gone (why'd you do it? why'd you have to do it?) baby baby baby been so lonely (sweet sweet - sweet sweet baby)"
8,johnny cash,i walk the line,"i keep a close watch on this heart of mine i keep my eyes wide open all the time i keep the ends out for the tie that binds because you're mine, i walk the line i find it very, very easy to be true i find myself alone when each day is through yes, i'll admit that i'm a fool for you because you're mine, i walk the line as sure as night is dark and day is light i keep you on my mind both day and night and happiness i've known proves that it's right because you're mine, i walk the line you've got a way to keep me on your side you give me cause for love that i can't hide for you i know i'd even try to turn the tide because you're mine, i walk the line i keep a close watch on this heart of mine i keep my eyes wide open all the time i keep the ends out for the tie that binds because you're mine, i walk the line"
9,aretha franklin,oh no not my baby,"when my friends told me you had someone new i didn't believe a single word was true i showed them all i had a faith in you i just kept on saying oh, no, not my baby oh, no, not my sweet baby you're not like those other guys who lead you on and tell you lies my mama told me when rumors spread there's truth somewhere and i should use my head but i didn't listen to what she said i kept right on saying oh, no, not my baby oh, no, not my sweet baby you're not like those other boys who play with hearts like they were toys well, you might have had a last minute fling but i am sure it didn't mean a thing 'cause yesterday you gave me your ring and i'm so glad that i kept on saying oh, no, not my baby oh, no, not my sweet baby you're not like those other guys who lead you on and tell you lies oh, no, not my baby oh, no, not my sweet baby oh, no, not my baby oh, no, not my sweet baby"
10,aretha franklin,old landmark,"chorus: let us all go back to the old landmark, let us all go back to the old landmark, let us all go back to the old landmark, then, we’ll stay in the service of the lord. verse 1: let us kneel and pray in the old-time way, let us kneel and pray in the old-time way, let us kneel and pray in the old-time way, he will hear us and be near us, we’ll be given bread from heaven, he will feed us until we want no more. verse 2: preachers preach the word in the old-time way, preachers preach the word in the old-time way, preachers preach the word in the old-time way, tell the story of his glory, it will warn men, it will turn men, it will save this old world from sin and shame. verse 3: let us blend our voices in the old-time way, let us blend our voices in the old-time way, let us blend our voices in the old-time way, common meter, they’re much sweeter, when you stop singing, bells keep ringing, it will linger right down in your soul. verse 4: let’s go down to the river in the old-time way, let’s go down to the river in the old-time way, let’s go down to the river in the old-time way, sons and daughters buried in the water, coming up shouting, nobody doubting, everybody happy in the service of the lord! recap let us all go back to the old landmark, let us all go back to the old landmark, let us all go back to the old landmark, he will hear us and be near us, we’ll be given bread from heaven, tell the story of his glory, it will warn men, it will turn men common meter, they’re much sweeter, when you start singing, bells keep ringing, sons and daughters buried in the water, coming up shouting, nobody doubting, everybody shouting, shouting, shouting, shouting! vamp ohh, shouting, shouting! (repeat)"
