,Induction Year,Name,Inducted Members,Inducted By
0,1986,chuck berry,,keith richards  
1,1986,james brown,,steve winwood  
2,1986,ray charles,,quincy jones  
3,1986,sam cooke,,herb alpert  
4,1986,fats domino,,billy joel  
5,1986,the everly brothers,don everly and phil everly. 6 ,neil young  
6,1986,buddy holly,,john fogerty  
7,1986,jerry lee lewis,,hank williams jr.
8,1986,little richard,,roberta flack
9,1986,elvis presley,,julian and sean lennon
10,1987,the coasters,"carl gardner, cornell gunter, billy guy, and will ""dub"" jones. 7 ",lester sill
11,1987,eddie cochran,,mick jones
12,1987,bo diddley,,zz top  
13,1987,aretha franklin,,keith richards  
14,1987,marvin gaye,,nick ashford and valerie simpson
15,1987,bill haley,,chuck berry  
16,1987,b.b. king,,sting  
17,1987,clyde mcphatter,,ben e. king  
18,1987,ricky nelson,,john fogerty  
19,1987,roy orbison,,bruce springsteen  
20,1987,carl perkins,,sam phillips  
21,1987,smokey robinson,,daryl hall   and john oates  
22,1987,big joe turner,,doc pomus  
23,1987,muddy waters,,paul butterfield  
24,1987,jackie wilson,,peter wolf
25,1988,the beach boys,"al jardine, mike love, brian wilson, carl wilson, and dennis wilson. 8 ",elton john  
26,1988,the beatles,"george harrison, john lennon, paul mccartney, and ringo starr. 9 ",mick jagger  
27,1988,the drifters,"ben e. king, rudy lewis, clyde mcphatter, johnny moore, bill pinkney, charlie thomas, and gerhart thrasher. 10 ",billy joel  
28,1988,bob dylan,,bruce springsteen  
29,1988,the supremes,"florence ballard, diana ross, and mary wilson. 11 ",little richard  
30,1989,dion,,lou reed  
31,1989,otis redding,,little richard  
32,1989,the rolling stones,"mick jagger, brian jones, keith richards, ian stewart, mick taylor, charlie watts, ronnie wood, and bill wyman. 12 ",pete townshend  
33,1989,the temptations,"melvin franklin, eddie kendricks, david ruffin, otis williams, paul williams, dennis edwards. 13 ",daryl hall   and john oates  
34,1989,stevie wonder,,paul simon  
35,1990,hank ballard,,boz scaggs
36,1990,bobby darin,,paul anka
37,1990,the four seasons,"tom devito, bob gaudio, nick massi, and frankie valli. 14 ",bob crewe
38,1990,the four tops,"renaldo ""obie"" benson, abdul ""duke"" fakir, lawrence payton, and levi stubbs. 15 ",stevie wonder  
39,1990,the kinks,"mick avory, dave davies, ray davies, and pete quaife. 16 ",graham nash  
40,1990,the platters,"david lynch, herb reed, paul robi, zola taylor, and tony williams. 17 ",phil spector  
41,1990,simon & garfunkel,paul simon and art garfunkel. 18 ,james taylor  
42,1990,the who,"roger daltrey, john entwistle, keith moon, and pete townshend. 19 ",u2  
43,1991,lavern baker,,chaka khan
44,1991,the byrds,"gene clark, michael clarke, david crosby, chris hillman, and roger mcguinn. 20 ",don henley  
45,1991,john lee hooker,,bonnie raitt  
46,1991,the impressions,"curtis mayfield, sam gooden, fred cash, arthur brooks, richard brooks, and jerry butler. 21 ",tracy chapman
47,1991,wilson pickett,,bobby brown
48,1991,jimmy reed,,zz top  
49,1991,ike & tina turner,ike turner and tina turner.   ,phil spector  
50,1992,"bobby ""blue"" bland",,b.b. king  
51,1992,booker t. & the m.g.'s,"booker t. jones, steve cropper, donald ""duck"" dunn, al jackson jr., and lewie steinberg. 23 ",jim stewart
52,1992,johnny cash,,lyle lovett
53,1992,the isley brothers,"ernie isley, marvin isley, o'kelly isley jr., ronald isley, rudolph isley, and chris jasper. 24 ",little richard  
54,1992,the jimi hendrix experience,"jimi hendrix, mitch mitchell, and noel redding. 25 ",neil young  
55,1992,sam & dave,sam moore and dave prater. 26 ,billy joel  
56,1992,the yardbirds,"jeff beck, eric clapton, chris dreja, jim mccarty, jimmy page, keith relf, and paul samwell-smith. 27 ",the edge  
57,1993,ruth brown,,bonnie raitt  
58,1993,cream,"ginger baker, jack bruce, and eric clapton. 28 ",zz top  
59,1993,creedence clearwater revival,"doug clifford, stu cook, john fogerty, and tom fogerty. 29 ",bruce springsteen  
60,1993,the doors,"john densmore, robby krieger, ray manzarek, and jim morrison. 30 ",eddie vedder  
61,1993,frankie lymon & the teenagers,"herman santiago, jimmy merchant, sherman garnes, frankie lymon, and joe negroni 31 ",boyz ii men
62,1993,etta james,,k.d. lang
63,1993,van morrison,,robbie robertson  
64,1993,sly and the family stone,"gregg errico, larry graham, jerry martini, cynthia robinson, freddie stone, rosie stone, and sly stone. 32 ",george clinton  
65,1994,the animals,"eric burdon, chas chandler, alan price, john steel, and hilton valentine. 33 ",dave pirner
66,1994,the band,"rick danko, levon helm, garth hudson, richard manuel, and robbie robertson. 34 ",eric clapton  
67,1994,duane eddy,,mick jones
68,1994,the grateful dead,"tom constanten, jerry garcia, donna jean godchaux, keith godchaux, mickey hart, robert hunter, bill kreutzmann, phil lesh, ron mckernan, brent mydland, bob weir, and vince welnick. 35 ",bruce hornsby
69,1994,elton john,,axl rose  
70,1994,john lennon,,paul mccartney  
71,1994,bob marley,,bono  
72,1994,rod stewart,,jeff beck  
73,1995,the allman brothers band,"duane allman, gregg allman, dickey betts, jai johanny johanson, berry oakley, and butch trucks. 36 ",willie nelson
74,1995,al green,,natalie cole
75,1995,janis joplin,,melissa etheridge
76,1995,led zeppelin,"john bonham, john paul jones, jimmy page, and robert plant 37 ",steven tyler   and joe perry  
77,1995,martha and the vandellas,"rosalind ashford, annette beard, betty kelly, lois reeves, and martha reeves. 38 ",fred schneider and kate pierson
78,1995,neil young,,eddie vedder  
79,1995,frank zappa,,lou reed  
80,1996,david bowie,,madonna   and david byrne  
81,1996,gladys knight & the pips,"william guest, gladys knight, merald ""bubba"" knight, and edward patten. 39 ",mariah carey
82,1996,jefferson airplane,"marty balin, jack casady, spencer dryden, paul kantner, jorma kaukonen, and grace slick. 40 ",mickey hart   and phil lesh  
83,1996,little willie john,,stevie wonder  
84,1996,pink floyd,"syd barrett, david gilmour, nick mason, roger waters, and rick wright. 41 ",billy corgan
85,1996,the shirelles,"shirley alston reeves, addie harris, doris kenner-jackson, and beverly lee. 42 ","merry clayton, marianne faithfull and darlene love  "
86,1996,the velvet underground,"john cale, sterling morrison, lou reed, and maureen tucker. 43 ",patti smith  
87,1997,bee gees,"barry gibb, maurice gibb, and robin gibb. 44 ",brian wilson  
88,1997,buffalo springfield,"richie furay, dewey martin, bruce palmer, stephen stills, and neil young. 45 ",tom petty  
89,1997,"crosby, stills & nash","david crosby, graham nash, and stephen stills. 46 ",james taylor  
90,1997,the jackson 5,"jackie jackson, jermaine jackson, marlon jackson, michael jackson, and tito jackson. 47 ",diana ross  
91,1997,joni mitchell,,shawn colvin
92,1997,parliament-funkadelic,"jerome brailey, george clinton, bootsy collins, raymond davis, tiki fulwood, glenn goins, michael hampton, fuzzy haskins, eddie hazel, walter morrison, cordell mosson, william ""billy bass"" nelson, garry shider, calvin simon, grady thomas, and bernie worrell. 48 ",prince  
93,1997,the (young) rascals,"eddie brigati, felix cavaliere, gene cornish, and dino danelli. 49 ",steven van zandt  
